UNITID,EFALEVEL,LINE,SECTION,LSTUDY,XEFTOTLT,EFTOTLT,XEFTOTLM,EFTOTLM,XEFTOTLW,EFTOTLW,XEFAIANT,EFAIANT,XEFAIANM,EFAIANM,XEFAIANW,EFAIANW,XEFASIAT,EFASIAT,XEFASIAM,EFASIAM,XEFASIAW,EFASIAW,XEFBKAAT,EFBKAAT,XEFBKAAM,EFBKAAM,XEFBKAAW,EFBKAAW,XEFHISPT,EFHISPT,XEFHISPM,EFHISPM,XEFHISPW,EFHISPW,XEFNHPIT,EFNHPIT,XEFNHPIM,EFNHPIM,XEFNHPIW,EFNHPIW,XEFWHITT,EFWHITT,XEFWHITM,EFWHITM,XEFWHITW,EFWHITW,XEF2MORT,EF2MORT,XEF2MORM,EF2MORM,XEF2MORW,EF2MORW,XEFUNKNT,EFUNKNT,XEFUNKNM,EFUNKNM,XEFUNKNW,EFUNKNW,XEFNRALT,EFNRALT,XEFNRALM,EFNRALM,XEFNRALW,EFNRALW 
100654,1,29,3,4,R,5020,R,2268,R,2752,R,8,R,1,R,7,R,32,R,23,R,9,R,4630,R,2114,R,2516,R,49,R,13,R,36,R,4,R,3,R,1,R,256,R,100,R,156,Z,0,Z,0,Z,0,R,40,R,13,R,27,R,1,R,1,Z,0
100663,1,29,3,4,R,18568,R,7309,R,11259,R,48,R,21,R,27,R,900,R,391,R,509,R,3929,R,1177,R,2752,R,488,R,186,R,302,R,14,R,5,R,9,R,11853,R,4861,R,6992,R,524,R,192,R,332,R,237,R,129,R,108,R,575,R,347,R,228
100690,1,29,3,4,R,631,R,264,R,367,R,1,Z,0,R,1,R,2,R,2,Z,0,R,251,R,71,R,180,R,7,R,5,R,2,R,1,R,1,Z,0,R,192,R,108,R,84,Z,0,Z,0,Z,0,R,177,R,77,R,100,Z,0,Z,0,Z,0
100706,1,29,3,4,R,7376,R,4136,R,3240,R,94,R,50,R,44,R,276,R,139,R,137,R,863,R,351,R,512,R,224,R,123,R,101,R,1,R,1,R,0,R,5117,R,2980,R,2137,R,107,R,60,R,47,R,244,R,132,R,112,R,450,R,300,R,150
100724,1,29,3,4,R,6075,R,2399,R,3676,R,9,R,3,R,6,R,14,R,8,R,6,R,5530,R,2147,R,3383,R,71,R,42,R,29,R,4,R,1,R,3,R,206,R,79,R,127,R,38,R,12,R,26,R,83,R,36,R,47,R,120,R,71,R,49
100751,1,29,3,4,R,34752,R,15763,R,18989,R,152,R,75,R,77,R,406,R,193,R,213,R,3983,R,1382,R,2601,R,1041,R,429,R,612,R,37,R,17,R,20,R,26758,R,12379,R,14379,R,692,R,307,R,385,R,142,R,68,R,74,R,1541,R,913,R,628
100760,1,29,3,4,R,1906,R,738,R,1168,R,4,R,2,R,2,R,4,R,2,R,2,R,543,R,167,R,376,R,22,R,11,R,11,R,2,R,1,R,1,R,1313,R,548,R,765,R,1,Z,0,R,1,R,15,R,6,R,9,R,2,R,1,R,1
100812,1,29,3,4,R,3170,R,1107,R,2063,R,60,R,18,R,42,R,16,R,3,R,13,R,355,R,108,R,247,R,66,R,24,R,42,R,2,R,1,R,1,R,2372,R,848,R,1524,R,43,R,10,R,33,R,235,R,84,R,151,R,21,R,11,R,10
100830,1,29,3,4,R,5084,R,1884,R,3200,R,18,R,6,R,12,R,112,R,46,R,66,R,1518,R,442,R,1076,R,40,R,17,R,23,Z,0,Z,0,Z,0,R,2702,R,1082,R,1620,R,0,Z,0,R,0,R,451,R,165,R,286,R,243,R,126,R,117
100858,1,29,3,4,R,24864,R,12628,R,12236,R,177,R,81,R,96,R,559,R,293,R,266,R,1828,R,805,R,1023,R,575,R,288,R,287,Z,0,Z,0,Z,0,R,20199,R,10222,R,9977,Z,0,Z,0,Z,0,R,340,R,172,R,168,R,1186,R,767,R,419
