UNITID,TUITION2,FEE2
100654,5592,1590
100663,7206,0
100690,6900,820
100706,9192,0
100724,6936,1784
100751,9450,0
100760,4200,0
100812,5010,750
100830,8100,650
100858,8256,1596
100937,29600,1090
101028,3330,930
101073,7920,170
101116,16185,175
101143,3108,672
101161,3360,840
101189,16530,1700
101240,3330,570
101286,3330,570
101295,3330,870
101301,3330,570
101365,11150,0
101435,20742,999
101453,8952,840
101462,2664,672
101471,3924,684
101480,8490,300
101499,3330,578
101505,3330,930
101514,3270,870
101541,14620,1010
101569,3360,870
101587,6510,1150
101602,3330,840
101648,6000,2570
101675,10224,822
101693,17970,970
101709,9330,670
101736,3330,810
101879,5592,1486
101897,3330,870
101912,15258,978
101949,3330,870
101958,8800,885
101994,3330,930
102030,3330,870
102049,25528,800
102058,5640,200
102067,3330,570
102076,3330,930
102094,6648,300
102234,29054,1870
102261,11700,450
102270,13548,2317
102298,10175,1317
102313,2664,624
102368,6336,940
102377,18100,800
102395,12600,1200
102429,3330,900
102553,5208,871
102580,9000,200
102614,5208,976
102632,5208,1229
102669,29700,110
102845,19882,0
103361,4858,968
103644,12960,0
103723,14344,0
103778,.,.
103787,11700,300
103945,17211,0
104151,9343,518
104160,1776,0
104179,9388,1003
104188,34416,125
104346,2310,0
104364,12384,810
104425,1752,0
104577,1920,0
104586,30120,914
104665,24000,300
104708,1944,30
104717,7842,703
104805,13550,225
105145,1944,30
105154,1944,30
105163,17748,300
105172,17748,300
105206,2340,210
105297,720,85
105330,9640,867
105349,1536,70
105367,10260,0
105428,1944,30
105516,10666,760
105525,1572,152
105589,28320,1412
105668,1944,30
105747,1944,30
105792,1944,30
105899,20952,880
106102,6311,0
106148,1872,0
106245,5525,1569
106263,7200,1005
106306,8040,0
106342,23370,224
106397,6354,1464
106412,4290,1464
106449,2112,312
106458,5610,1900
106467,4776,822
106485,4103,1690
106546,6994,810
106625,1872,648
106704,5745,1850
106713,11850,1500
106795,2010,502
106810,9300,1600
106829,1350,0
106883,2520,270
106980,2850,470
106999,1872,582
107044,15690,480
107071,4584,1553
107080,37358,300
107141,21736,998
107318,2640,293
107327,2016,218
107460,2160,312
107488,1890,305
107512,21860,510
107521,2550,817
107549,1896,518
107558,23750,600
107585,2610,890
107600,11804,710
107619,2220,515
107637,2460,520
107664,2850,657
107725,1965,466
107743,1920,624
107840,1800,300
107877,12900,850
107974,2184,304
107983,6120,1266
107992,3240,840
108092,3192,1336
108232,18840,290
108250,17748,300
108269,.,.
108667,1104,40
108807,1288,58
108852,29900,750
108861,.,.
108870,.,.
109086,25000,201
109208,0,1104
109350,1104,0
109651,35980,500
109785,31416,890
109819,1288,36
109907,1104,0
110060,8200,120
110097,32142,0
110185,19620,500
110219,11645,50
110246,1104,250
110307,.,.
110316,25458,255
110334,1288,70
110361,26312,1810
110370,39984,350
110398,.,.
110404,39990,1548
110413,35270,450
110422,5472,3252
110468,15336,310
110486,5472,1303
110495,5472,1019
110510,5472,1078
110529,5472,878
110538,5472,1500
110547,5472,628
110556,5472,815
110565,5472,714
110574,5472,1078
110583,5472,768
110592,5472,872
110608,5472,1053
110617,5472,1156
110635,11220,1644
110644,11220,2675
110653,11220,1929
110662,11220,1477
110671,11220,1740
110680,11220,2051
110699,.,.
110705,11220,2526
110714,11220,2177
110778,475,100
110918,7680,595
110945,18480,0
111009,13761,0
111081,39976,560
111188,5472,1064
111391,.,.
111434,1288,56
111461,1104,50
111887,1288,58
111896,1288,2
111920,0,1138
111939,1104,49
111948,42890,683
111966,13813,100
112075,29000,630
112084,24540,1348
112127,.,.
112172,1104,70
112190,0,1274
112251,.,.
112260,45380,245
112385,1104,32
112394,15980,180
112446,20100,100
112525,.,.
112561,1104,46
112570,18375,429
112686,1104,38
112826,1288,10
113096,0,1104
113111,1104,30
113193,1196,34
113218,1334,52
113236,1104,32
113333,1395,147
113537,12000,750
113573,1288,28
113582,20460,10
113634,1288,10
113698,40150,450
113704,.,.
113856,1219,2
113980,1104,38
114114,.,.
114266,1288,38
114354,27955,965
114390,27955,965
114415,27955,965
114433,0,1446
114549,.,.
114585,.,.
114716,1395,141
114734,.,.
114789,1104,38
114813,25334,382
114840,.,.
114859,1104,34
114938,1196,50
115001,1104,71
115083,14400,0
115126,1104,72
115214,.,.
115296,1334,52
115393,1104,20
115409,46234,275
115454,13500,120
115472,13500,120
115490,13500,120
115515,13500,120
115533,13500,120
115728,32590,430
115746,.,.
115755,5472,1672
115773,11700,0
115861,1288,38
116226,17950,95
116439,1415,38
116466,17748,300
116475,17748,300
116484,17748,300
116712,22320,348
116846,26784,1180
117052,1104,38
117104,12000,500
117113,18648,100
117140,35000,0
117168,26500,0
117195,1209,12
117247,1104,40
117274,1104,23
117520,.,.
117557,9360,375
117575,13320,372
117627,27972,1131
117636,28080,2932
117645,1104,78
117672,.,.
117690,1219,2
117706,1219,2
117715,1219,2
117724,1219,2
117733,1219,2
117751,28380,420
117788,1219,2
117803,.,.
117867,1219,2
117894,1288,10
117928,18648,100
117946,39344,696
118347,1380,40
118541,29914,665
118684,1380,42
118693,36500,600
118718,1104,34
118772,1104,40
118888,40210,1284
118912,1104,44
118930,1104,70
118976,1104,46
119058,34970,56
119067,1104,66
119137,1338,50
119164,1288,58
119173,32882,970
119216,1380,6
119234,19152,0
119270,23985,0
119331,1104,38
119359,14364,0
119368,11206,218
119508,13572,0
119544,7896,300
119605,12096,0
119678,.,.
119775,24086,450
120166,7920,380
120184,30806,320
120254,45190,1462
120290,1104,58
120342,1104,80
120403,37380,2050
120421,1338,50
120537,25550,500
120698,14994,4554
120740,.,.
120768,19872,120
120795,.,.
120838,18740,600
120865,26550,930
120883,39290,520
120953,1288,0
120971,1288,40
121044,1104,48
121150,44650,252
121257,44752,266
121275,25120,0
121309,29750,606
121345,43255,325
121363,1288,34
121381,14871,251
121619,1104,38
121628,.,.
121691,40990,300
121707,1104,36
121886,1104,74
121901,1380,46
121983,13464,199
122117,6850,400
122180,0,1104
122205,728,34
122250,17250,0
122296,41330,1206
122339,1104,38
122366,15270,1400
122375,1104,38
122384,1104,38
122409,5472,1294
122436,40900,492
